,Supplier,ITEM,DESCRIPTION,UNIT, UNIT PRICE ,initial inventory,amt,saferty,total forcast
,RLT 88 TRADING CO.,Copy Paper,Lazer - Short(216x279mm.),ream,128,0,0,0,0
,RLT 88 TRADING CO.,Copy Paper,Lazer - Long(216x330mm.),ream,195,0,0,0,0
,RLT 88 TRADING CO.,Copy Paper,Lazer - A3(420x297mm.),ream,330,0,0,0,0
,CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A5(GM Slips),ream,270,0,0,0,0
,CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A5(GM Slips),ream,290,0,0,0,0
,CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A4(W/ 2 sides perforation),ream,350,0,0,0,0
,CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A4(W/ 2 sides perforation),ream,370,0,0,0,0
,RLT 88 TRADING CO.,Correction Pen,HBW,piece,30,0,0,0,0
,RLT 88 TRADING CO.,Correction Tape,Joy,piece,22,0,0,0,0
,BENJ ENTERPRISES,Cutter ,Ordinary - Big,tube,18,0,0,0,0
,RLT 88 TRADING CO.,Cutter ,Tajima LC - 500 - Big,piece,220,0,0,0,0
,RLT 88 TRADING CO.,Cutter ,Tajima LC - 500 - Big,piece,260,0,0,0,0
,BENJ ENTERPRISES,Cutter ,Ordinary - Small,piece,11,0,0,0,0
,RLT 88 TRADING CO.,Cutter Blade,Heavy - Duty Small,tube,17,0,0,0,0
,RLT 88 TRADING CO.,Cutter Blade,Heavy - Duty Small,tube,11,0,0,0,0
,BENJ ENTERPRISES,Cutter Blade,Heavy - Duty Big,tube,25,0,0,0,0
,RLT 88 TRADING CO.,Diskette,Verbatim mf 2hd,piece,12.5,0,0,0,0
,RLT 88 TRADING CO.,Dong-A,Retractable,piece,40,0,0,0,0
,BENJ ENTERPRISES,Double Sided Tape,"1""x30m. ",roll,50,0,0,0,0
,BENJ ENTERPRISES,Double Sided Tape,"1/2""x30m. ",roll,28.35,0,0,0,0
,RLT 88 TRADING CO.,DVD-R,Imation - (4.7gb),piece,32,0,0,0,0
,SM,Dymo Tape Label,Cartridge White,piece,570,0,0,0,0
,SM,Dymo Tape Label,Cartridge White ( paper type ),piece,270,0,0,0,0
,SM,Dymo Tape Label,Cartridge BLUE,piece,570,0,0,0,0
,RLT 88 TRADING CO.,Envelope,Brown - Long,sheet,1.8,0,0,0,0
,RLT 88 TRADING CO.,Envelope,Brown - Short,sheet,1.6,0,0,0,0
,RLT 88 TRADING CO.,Envelope,Brown - Short (box),box,550,0,0,0,0
,RLT 88 TRADING CO.,Epson Ribbon,LX - 300,piece,135,0,0,0,0
,RLT 88 TRADING CO.,Epson Ribbon,LX - 310,piece,165,0,0,0,0
,RLT 88 TRADING CO.,Eraser,Staedtler,sheet,16.5,0,0,0,0
,RLT 88 TRADING CO.,File Box,Blue,piece,62,0,0,0,0
,RLT 88 TRADING CO.,File Divider,"A4 Size, 5 Sheets per pack",set,15,0,0,0,0
,BENJ ENTERPRISES,File Divider,"A4 Size, 5 Sheets per pack",set,23,0,0,0,0
,RLT 88 TRADING CO.,Folder,Green - Long,sheet,12,0,0,0,0
,RLT 88 TRADING CO.,Folder,Green - Long / US PRESS BOARD,sheet,23,0,0,0,0
,RLT 88 TRADING CO.,Folder,Green - Short,sheet,11,0,0,0,0
,RLT 88 TRADING CO.,Folder,Sliding - Clear - long,sheet,3.9,0,0,0,0
,RLT 88 TRADING CO.,Folder,Sliding - Clear - A4 (Class A),sheet,3.9,0,0,0,0
,RLT 88 TRADING CO.,Folder,White - Long,sheet,3.6,0,0,0,0
,RLT 88 TRADING CO.,Folder,White - Short,sheet,3.3,0,0,0,0
,RLT 88 TRADING CO.,Glue,Elmers - 130g.,piece,42,0,0,0,0
,SM ,HP Ink,BLACK,pc.,475,0,0,0,0
,SM ,HP Ink,COLORED,pc.,475,0,0,0,0
,RLT 88 TRADING CO.,Index Card,"4x6, 100 pieces per pack",pad,25,0,0,0,0
,COPYLANDIA,Ineo,Ink,piece,15000,0,0,0,0
,COPYLANDIA,Ineo,Drum,piece,30000,0,0,0,0
,COPYLANDIA,Ink CV,Black UA,piece,1335,0,0,0,0
,RLT 88 TRADING CO.,L - Folder,Clear - Long,sheet,4.8,0,0,0,0
,RLT 88 TRADING CO.,L - Folder,Clear - Long,sheet,5.5,0,0,0,0
,RLT 88 TRADING CO.,L - Folder, A4 Size - Clear,sheet,4.8,0,0,0,0
,RLT 88 TRADING CO.,L - Folder, A4 Size Colored/Assorted,sheet,4.8,0,0,0,0
,RLT 88 TRADING CO.,Laminating Film,A4 Size (250 microns),sheet,16.8,0,0,0,0
,RLT 88 TRADING CO.,Laminating Film,A3 size (250 microns),sheet,18.5,0,0,0,0
,RLT 88 TRADING CO.,Letter Envelope,White - Long,piece,1.5,0,0,0,0
,BENJ ENTERPRISES,Masking Tape,"1/2""",roll,9.5,0,0,0,0
,BENJ ENTERPRISES,Masking Tape,"1""",roll,18,0,0,0,0
,COPYLANDIA,Master Roll ,Riso,roll,3495,0,0,0,0
,COPYLANDIA,Master CV , B4 UA,piece,2780,0,0,0,0
,RLT 88 TRADING CO.,Metal Tray,3 Layers,piece,480,0,0,0,0
,RLT 88 TRADING CO.,Newsprint,Metro A4  ,ream,115,0,0,0,0
,RLT 88 TRADING CO.,Newsprint,Metro A4  ,ream,125,0,0,0,0
,RLT 88 TRADING CO.,Notebook,Veco,piece,30,0,0,0,0
,RLT 88 TRADING CO.,Notebook,Veco,piece,40,0,0,0,0
,RLT 88 TRADING CO.,Notebook,Steno Notes,piece,13,0,0,0,0
,RLT 88 TRADING CO.,Paper Clip,Big,box,15.5,0,0,0,0
,RLT 88 TRADING CO.,Paper Clip,Small,box,5.5,0,0,0,0
,RLT 88 TRADING CO.,Paper Clip,Small,box,7,0,0,0,0
,RLT 88 TRADING CO.,Paper Fastener,Prince,box,23,0,0,0,0
,RLT 88 TRADING CO.,Paper,Green,ream,160,0,0,0,0
,ROBINSON NATIONAL,Parchment Paper,"9""X12""",pack,23,0,0,0,0
,ROBINSON NATIONAL,Parchment Paper,"9""X12""",pack,29,0,0,0,0
,BENJ ENTERPRISES,Pen,Snowman - Silver,piece,90,0,0,0,0
,BENJ ENTERPRISES,Pen,ZEBRA BLACK,piece,76,0,0,0,0
,BENJ ENTERPRISES,Pen,ZEBRA RED,piece,76,0,0,0,0
,RLT 88 TRADING CO.,Pencil,Mongol 1 & 2,piece,8,0,0,0,0
,SM,Pentel Pen,White,piece,199.75,0,0,0,0
,SM,Pentel Pen,White,piece,124.75,0,0,0,0
,SM,Permanent Mounting Tape,"3M - 1"" x 6m",roll,699.75,0,0,0,0
,RLT 88 TRADING CO.,Permanent Pen,Pilot - Black,piece,31,0,0,0,0
,RLT 88 TRADING CO.,Permanent Pen,Pilot - Blue,piece,29,0,0,0,0
,RLT 88 TRADING CO.,Permanent Pen,Pilot - Blue,piece,31,0,0,0,0
,RLT 88 TRADING CO.,Permanent Pen,Pilot - Red,piece,31,0,0,0,0
,RLT 88 TRADING CO.,Permanent Pen,Refill Ink - Black,piece,72,0,0,0,0
,RLT 88 TRADING CO.,Permanent Pen,Refill Ink - Red,piece,72,0,0,0,0
,RLT 88 TRADING CO.,Pilot Sign Pen,G-Tech - Black (0.3),piece,60,0,0,0,0
,RLT 88 TRADING CO.,Pilot Sign Pen,G-TECH Refill Ink,piece,33,0,0,0,0
,RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),A4,sheet,7,0,0,0,0
,RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),LONG,sheet,6.5,0,0,0,0
,RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),LONG,sheet,5.5,0,0,0,0
,RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),LONG,sheet,8.5,0,0,0,0
,BENJ ENTERPRISES,Pocket Notebook,Spring on top,piece,11,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,"Acura - 1.5 x 2""",pad,7.5,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,"Acura - 1.5 x 2""",pad,9,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,"Acura - 2x3""",pad,13,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,"Acura - 2x3""",pad,15,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,"Acura - 3x3""",pad,16,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,"Acura - 3x3""",pad,25,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,"1.5 x 2"" Colored(Except Yellow)",pad,25,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,2x3'' Colored (Except Yellow),pad,30,0,0,0,0
,RLT 88 TRADING CO.,Post It Note,3x3 Colored(Except Yellow),pad,21,0,0,0,0
,UNOCHEM,Powder Detergent Soap,,kilo,63,0,0,0,0
,RLT 88 TRADING CO.,Puncher,Carl No. 75A,piece,330,0,0,0,0
,RLT 88 TRADING CO.,Push Pins ,Snowman - 100's,box,27,0,0,0,0
,RLT 88 TRADING CO.,Record Book,Shiny - 150 pages,piece,26,0,0,0,0
,RLT 88 TRADING CO.,Record Book,Shiny - 300 pages,piece,45,0,0,0,0
,RLT 88 TRADING CO.,Record Book,Shiny - 300 pages,piece,55,0,0,0,0
,RLT 88 TRADING CO.,Record Book,Shiny - 500 pages,piece,60,0,0,0,0
,RLT 88 TRADING CO.,Record Book,Shiny - 500 pages,piece,70,0,0,0,0
,RLT 88 TRADING CO.,Record Book,Shiny - 500 pages,piece,75,0,0,0,0
,BESTMARC,Ring,"1/2""",piece,7,0,0,0,0
,RLT 88 TRADING CO.,Ring,'2,piece,5,0,0,0,0
,COPYLANDIA,Riso Ink ,Black,tube,1509,0,0,0,0
,RLT 88 TRADING CO.,Ruler,Aluminum,piece,75,0,0,0,0
,RLT 88 TRADING CO.,Ruler,Orions,piece,32,0,0,0,0
,BENJ ENTERPRISES,Scissors,"6""",piece,20,0,0,0,0
,BENJ ENTERPRISES,Scissors,"8""",piece,35,0,0,0,0
,BENJ ENTERPRISES,Scotch Tape,"1/2""x30m.",roll,12,0,0,0,0
,BENJ ENTERPRISES,Scotch Tape,"1""x100m.",roll,23,0,0,0,0
