supplier,item,description,admin,accounting,qa,qc,dok,systemkaizen,prodsupport_stafftools,prodsupport_staffoffice,prodsupport_supplies,audittraining,prodmgt,impexcrating,molding,fabrication,whreceiving,saitama,purchasing,prodtech,partsinspection,prod1dcmotor,prod1ud700yud,prod1sdrb260,prod1rbw10,prod2glr100,prod1brm,prod1technician,prod1office,prod1partsprep,prod2rbw150,prod2rbg,prod2technician,prod2partsprep,prod2packaging,prod2office,g200,rbw50,rbw100,sdrb100
BENJ ENTERPRISES,Cutter Blade,Heavy - Duty Big,2,,,,,,,,2,1,,,,,3,,,,1,1,,,,,,,,4,,,,1,,,,,,
RLT 88 TRADING CO.,Diskette,Verbatim mf 2hd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Dong-A,Retractable,2,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Double Sided Tape,"1""x30m. ",1,1,,,,,,2,,,,,,1,,,,1,2,,,,,,,,,,,,1,,,,,,,
BENJ ENTERPRISES,Double Sided Tape,"1/2""x30m. ",2,,,,2,,,,,,,1,1,,2,,,1,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,DVD-R,Imation - (4.7gb),,,,,,,,,,,,1,,,,,3,,,,,,,,1,,,,1,,,,,,,,,2
SM,Dymo Tape Label,Cartridge White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Dymo Tape Label,Cartridge White ( paper type ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Dymo Tape Label,Cartridge BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Envelope,Brown - Long,1,7,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Envelope,Brown - Short,1,7,,,,,,,,,,5,,,,,,10,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Envelope,Brown - Short (box),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Epson Ribbon,LX - 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Epson Ribbon,LX - 310,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Eraser,Staedtler,1,,1,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,File Box,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,File Divider,"A4 Size, 5 Sheets per pack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,File Divider,"A4 Size, 5 Sheets per pack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Folder,Green - Long,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Folder,Green - Long / US PRESS BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Folder,Green - Short,5,,,10,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3
RLT 88 TRADING CO.,Folder,Sliding - Clear - long,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Folder,Sliding - Clear - A4 (Class A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Folder,White - Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Folder,White - Short,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Glue,Elmers - 130g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM ,HP Ink,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM ,HP Ink,COLORED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Index Card,"4x6, 100 pieces per pack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPYLANDIA,Ineo,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPYLANDIA,Ineo,Drum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPYLANDIA,Ink CV,Black UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,L - Folder,Clear - Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,L - Folder,Clear - Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,L - Folder,A4 Size - Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,L - Folder,A4 Size Colored/Assorted,3,,,,,,,,,,,,,,,,,2,,1,,,,10,,,,,,,1,,,,,1,,
RLT 88 TRADING CO.,Laminating Film,A4 Size (250 microns),2,1,5,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,3,1,,5,,2,,
RLT 88 TRADING CO.,Laminating Film,A3 size (250 microns),5,,15,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,
RLT 88 TRADING CO.,Letter Envelope,White - Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Masking Tape,"1/2""",1,,,,,,,,,,,,,5,,,,1,10,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Masking Tape,"1""",1,,,,,,,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,
COPYLANDIA,Master Roll ,Riso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPYLANDIA,Master CV , B4 UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Metal Tray,3 Layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Newsprint,Metro A4  ,2,2,,,,,,,3,3,8,2,15,8,2,,2,,,4,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Newsprint,Metro A4  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Notebook,Veco,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Notebook,Veco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Notebook,Steno Notes,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Paper Clip,Big,1,1,,,,,,,,,1,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Paper Clip,Small,2,1,1,,,,,2,,,1,2,1,,2,,,1,,,,,1,,,,,,,,,,,,,,,
